track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,992.754,985.296,4.274,2.366,0.505,4.72,1.97
1,2,200,car,993.17,985.553,4.242,2.433,0.521,4.72,1.97
1,3,300,car,993.581,985.818,4.205,2.507,0.538,4.72,1.97
1,4,400,car,993.987,986.092,4.161,2.586,0.556,4.72,1.97
1,5,500,car,994.387,986.375,4.112,2.669,0.576,4.72,1.97
1,6,600,car,994.781,986.668,4.055,2.757,0.597,4.72,1.97
1,7,700,car,995.168,986.972,3.992,2.849,0.62,4.72,1.97
1,8,800,car,995.547,987.286,3.922,2.944,0.644,4.72,1.97
1,9,900,car,995.918,987.611,3.846,3.043,0.669,4.72,1.97
1,10,1000,car,996.279,987.947,3.763,3.145,0.696,4.72,1.97
1,11,1100,car,996.63,988.294,3.675,3.251,0.724,4.72,1.97
1,12,1200,car,996.971,988.653,3.582,3.361,0.754,4.72,1.97
1,13,1300,car,997.299,989.022,3.484,3.474,0.784,4.72,1.97
1,14,1400,car,997.616,989.403,3.38,3.588,0.815,4.72,1.97
1,15,1500,car,997.92,989.795,3.271,3.704,0.847,4.72,1.97
1,16,1600,car,998.211,990.197,3.156,3.82,0.88,4.72,1.97
1,17,1700,car,998.488,990.61,3.035,3.934,0.914,4.72,1.97
1,18,1800,car,998.751,991.033,2.908,4.045,0.947,4.72,1.97
1,19,1900,car,999.001,991.465,2.776,4.153,0.981,4.72,1.97
1,20,2000,car,999.236,991.906,2.64,4.255,1.015,4.72,1.97
1,21,2100,car,999.456,992.356,2.501,4.351,1.049,4.72,1.97
1,22,2200,car,999.663,992.814,2.359,4.441,1.082,4.72,1.97
1,23,2300,car,999.855,993.278,2.217,4.524,1.115,4.72,1.97
1,24,2400,car,1000.034,993.749,2.075,4.599,1.147,4.72,1.97
1,25,2500,car,1000.199,994.226,1.934,4.667,1.178,4.72,1.97
1,26,2600,car,1000.351,994.708,1.795,4.725,1.208,4.72,1.97
1,27,2700,car,1000.491,995.194,1.66,4.774,1.236,4.72,1.97
1,28,2800,car,1000.619,995.683,1.529,4.813,1.263,4.72,1.97
1,29,2900,car,1000.736,996.175,1.403,4.843,1.289,4.72,1.97
1,30,3000,car,1000.842,996.669,1.283,4.863,1.313,4.72,1.97
1,31,3100,car,1000.939,997.163,1.171,4.874,1.335,4.72,1.97
1,32,3200,car,1001.026,997.658,1.066,4.876,1.356,4.72,1.97
1,33,3300,car,1001.106,998.152,0.969,4.87,1.374,4.72,1.97
1,34,3400,car,1001.178,998.644,0.88,4.858,1.392,4.72,1.97
1,35,3500,car,1001.244,999.135,0.8,4.84,1.407,4.72,1.97
1,36,3600,car,1001.305,999.623,0.728,4.818,1.421,4.72,1.97
1,37,3700,car,1001.36,1000.109,0.663,4.793,1.433,4.72,1.97
1,38,3800,car,1001.411,1000.592,0.606,4.767,1.444,4.72,1.97
1,39,3900,car,1001.458,1001.071,0.556,4.741,1.454,4.72,1.97
1,40,4000,car,1001.501,1001.548,0.512,4.717,1.463,4.72,1.97
1,41,4100,car,1001.542,1002.022,0.474,4.694,1.47,4.72,1.97
1,42,4200,car,1001.58,1002.493,0.441,4.673,1.477,4.72,1.97
1,43,4300,car,1001.616,1002.962,0.412,4.655,1.482,4.72,1.97
1,44,4400,car,1001.65,1003.429,0.387,4.639,1.488,4.72,1.97
1,45,4500,car,1001.682,1003.894,0.365,4.624,1.492,4.72,1.97
1,46,4600,car,1001.713,1004.357,0.346,4.61,1.496,4.72,1.97
1,47,4700,car,1001.743,1004.819,0.329,4.595,1.499,4.72,1.97
1,48,4800,car,1001.772,1005.279,0.314,4.578,1.502,4.72,1.97
1,49,4900,car,1001.799,1005.737,0.301,4.559,1.505,4.72,1.97
1,50,5000,car,1001.826,1006.194,0.289,4.538,1.507,4.72,1.97
1,51,5100,car,1001.852,1006.648,0.279,4.513,1.509,4.72,1.97
1,52,5200,car,1001.878,1007.099,0.269,4.486,1.511,4.72,1.97
1,53,5300,car,1001.903,1007.548,0.261,4.456,1.512,4.72,1.97
1,54,5400,car,1001.927,1007.994,0.254,4.425,1.514,4.72,1.97
1,55,5500,car,1001.951,1008.436,0.247,4.392,1.515,4.72,1.97
1,56,5600,car,1001.974,1008.876,0.241,4.36,1.516,4.72,1.97
1,57,5700,car,1001.997,1009.312,0.236,4.329,1.516,4.72,1.97
1,58,5800,car,1002.02,1009.745,0.232,4.299,1.517,4.72,1.97
1,59,5900,car,1002.043,1010.175,0.228,4.272,1.517,4.72,1.97
1,60,6000,car,1002.065,1010.602,0.225,4.246,1.518,4.72,1.97
1,61,6100,car,1002.087,1011.027,0.222,4.223,1.518,4.72,1.97
1,62,6200,car,1002.108,1011.449,0.219,4.202,1.519,4.72,1.97
1,63,6300,car,1002.13,1011.869,0.216,4.183,1.519,4.72,1.97
1,64,6400,car,1002.151,1012.288,0.214,4.165,1.519,4.72,1.97
1,65,6500,car,1002.172,1012.704,0.212,4.148,1.52,4.72,1.97
1,66,6600,car,1002.192,1013.119,0.209,4.131,1.52,4.72,1.97
1,67,6700,car,1002.213,1013.532,0.207,4.114,1.521,4.72,1.97
1,68,6800,car,1002.233,1013.944,0.204,4.096,1.521,4.72,1.97
1,69,6900,car,1002.253,1014.353,0.202,4.077,1.521,4.72,1.97
1,70,7000,car,1002.272,1014.761,0.199,4.057,1.522,4.72,1.97
1,71,7100,car,1002.291,1015.167,0.196,4.036,1.522,4.72,1.97
1,72,7200,car,1002.31,1015.57,0.193,4.013,1.523,4.72,1.97
1,73,7300,car,1002.329,1015.972,0.19,3.989,1.523,4.72,1.97
1,74,7400,car,1002.347,1016.37,0.187,3.965,1.524,4.72,1.97
1,75,7500,car,1002.365,1016.767,0.184,3.941,1.524,4.72,1.97
1,76,7600,car,1002.383,1017.161,0.181,3.918,1.525,4.72,1.97
1,77,7700,car,1002.4,1017.553,0.178,3.897,1.525,4.72,1.97
1,78,7800,car,1002.417,1017.943,0.175,3.879,1.526,4.72,1.97
1,79,7900,car,1002.434,1018.331,0.173,3.863,1.526,4.72,1.97
1,80,8000,car,1002.451,1018.717,0.171,3.849,1.527,4.72,1.97
1,81,8100,car,1002.467,1019.102,0.169,3.838,1.527,4.72,1.97
1,82,8200,car,1002.483,1019.486,0.167,3.83,1.527,4.72,1.97
1,83,8300,car,1002.5,1019.869,0.165,3.823,1.528,4.72,1.97
1,84,8400,car,1002.516,1020.251,0.164,3.819,1.528,4.72,1.97
1,85,8500,car,1002.532,1020.633,0.162,3.816,1.528,4.72,1.97
1,86,8600,car,1002.547,1021.015,0.161,3.814,1.529,4.72,1.97
1,87,8700,car,1002.563,1021.396,0.16,3.812,1.529,4.72,1.97
1,88,8800,car,1002.579,1021.777,0.159,3.812,1.529,4.72,1.97
1,89,8900,car,1002.594,1022.158,0.158,3.812,1.529,4.72,1.97
1,90,9000,car,1002.61,1022.54,0.157,3.812,1.53,4.72,1.97
1,91,9100,car,1002.625,1022.921,0.156,3.812,1.53,4.72,1.97
2,1,100,car,1017.953,990.301,-4.288,0.506,3.024,4.54,1.95
