track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,986.244,1000.737,4.501,-0.209,-0.046,5.77,1.77
1,2,200,car,986.695,1000.717,4.496,-0.207,-0.046,5.77,1.77
1,3,300,car,987.144,1000.697,4.477,-0.204,-0.046,5.77,1.77
1,4,400,car,987.592,1000.677,4.443,-0.201,-0.045,5.77,1.77
1,5,500,car,988.036,1000.658,4.395,-0.197,-0.045,5.77,1.77
1,6,600,car,988.476,1000.639,4.334,-0.192,-0.044,5.77,1.77
1,7,700,car,988.909,1000.621,4.26,-0.187,-0.044,5.77,1.77
1,8,800,car,989.335,1000.604,4.177,-0.181,-0.043,5.77,1.77
1,9,900,car,989.753,1000.587,4.086,-0.175,-0.043,5.77,1.77
1,10,1000,car,990.162,1000.571,3.987,-0.168,-0.042,5.77,1.77
1,11,1100,car,990.561,1000.555,3.883,-0.161,-0.042,5.77,1.77
1,12,1200,car,990.949,1000.54,3.775,-0.155,-0.041,5.77,1.77
1,13,1300,car,991.327,1000.526,3.663,-0.149,-0.041,5.77,1.77
1,14,1400,car,991.693,1000.512,3.549,-0.142,-0.04,5.77,1.77
1,15,1500,car,992.048,1000.499,3.431,-0.137,-0.04,5.77,1.77
1,16,1600,car,992.391,1000.486,3.313,-0.131,-0.04,5.77,1.77
1,17,1700,car,992.722,1000.473,3.193,-0.126,-0.04,5.77,1.77
1,18,1800,car,993.042,1000.46,3.072,-0.122,-0.04,5.77,1.77
1,19,1900,car,993.349,1000.447,2.952,-0.118,-0.04,5.77,1.77
1,20,2000,car,993.644,1000.435,2.833,-0.114,-0.04,5.77,1.77
1,21,2100,car,993.927,1000.422,2.716,-0.111,-0.041,5.77,1.77
1,22,2200,car,994.199,1000.41,2.601,-0.108,-0.041,5.77,1.77
1,23,2300,car,994.459,1000.397,2.489,-0.105,-0.042,5.77,1.77
1,24,2400,car,994.708,1000.384,2.382,-0.103,-0.043,5.77,1.77
1,25,2500,car,994.946,1000.372,2.279,-0.1,-0.044,5.77,1.77
1,26,2600,car,995.174,1000.359,2.179,-0.098,-0.045,5.77,1.77
1,27,2700,car,995.392,1000.347,2.084,-0.096,-0.046,5.77,1.77
1,28,2800,car,995.6,1000.335,1.993,-0.094,-0.047,5.77,1.77
1,29,2900,car,995.799,1000.323,1.905,-0.092,-0.048,5.77,1.77
1,30,3000,car,995.99,1000.311,1.819,-0.09,-0.049,5.77,1.77
1,31,3100,car,996.172,1000.3,1.736,-0.088,-0.051,5.77,1.77
1,32,3200,car,996.345,1000.289,1.655,-0.085,-0.052,5.77,1.77
1,33,3300,car,996.51,1000.278,1.575,-0.083,-0.052,5.77,1.77
1,34,3400,car,996.668,1000.268,1.497,-0.08,-0.053,5.77,1.77
1,35,3500,car,996.818,1000.259,1.421,-0.077,-0.054,5.77,1.77
1,36,3600,car,996.96,1000.249,1.345,-0.074,-0.055,5.77,1.77
1,37,3700,car,997.094,1000.241,1.27,-0.07,-0.055,5.77,1.77
1,38,3800,car,997.221,1000.233,1.197,-0.067,-0.056,5.77,1.77
1,39,3900,car,997.341,1000.225,1.124,-0.063,-0.056,5.77,1.77
1,40,4000,car,997.453,1000.218,1.053,-0.059,-0.056,5.77,1.77
1,41,4100,car,997.558,1000.212,0.982,-0.056,-0.057,5.77,1.77
1,42,4200,car,997.656,1000.206,0.913,-0.052,-0.057,5.77,1.77
1,43,4300,car,997.748,1000.201,0.845,-0.048,-0.057,5.77,1.77
1,44,4400,car,997.832,1000.196,0.78,-0.044,-0.057,5.77,1.77
1,45,4500,car,997.91,1000.192,0.717,-0.041,-0.057,5.77,1.77
1,46,4600,car,997.982,1000.188,0.658,-0.038,-0.057,5.77,1.77
1,47,4700,car,998.048,1000.184,0.604,-0.034,-0.057,5.77,1.77
1,48,4800,car,998.108,1000.181,0.557,-0.032,-0.057,5.77,1.77
1,49,4900,car,998.164,1000.178,0.516,-0.029,-0.057,5.77,1.77
1,50,5000,car,998.216,1000.175,0.483,-0.027,-0.057,5.77,1.77
1,51,5100,car,998.264,1000.173,0.458,-0.026,-0.057,5.77,1.77
1,52,5200,car,998.31,1000.17,0.441,-0.025,-0.057,5.77,1.77
1,53,5300,car,998.354,1000.168,0.433,-0.025,-0.057,5.77,1.77
1,54,5400,car,998.397,1000.165,0.432,-0.025,-0.057,5.77,1.77
1,55,5500,car,998.44,1000.163,0.439,-0.025,-0.057,5.77,1.77
1,56,5600,car,998.484,1000.161,0.452,-0.026,-0.057,5.77,1.77
1,57,5700,car,998.529,1000.158,0.471,-0.027,-0.057,5.77,1.77
1,58,5800,car,998.577,1000.155,0.495,-0.028,-0.057,5.77,1.77
1,59,5900,car,998.626,1000.153,0.524,-0.03,-0.057,5.77,1.77
1,60,6000,car,998.678,1000.15,0.557,-0.031,-0.056,5.77,1.77
1,61,6100,car,998.734,1000.147,0.595,-0.034,-0.056,5.77,1.77
1,62,6200,car,998.794,1000.143,0.638,-0.036,-0.056,5.77,1.77
1,63,6300,car,998.857,1000.14,0.687,-0.039,-0.056,5.77,1.77
1,64,6400,car,998.926,1000.136,0.743,-0.042,-0.056,5.77,1.77
1,65,6500,car,999.0,1000.132,0.806,-0.045,-0.056,5.77,1.77
1,66,6600,car,999.081,1000.128,0.879,-0.049,-0.056,5.77,1.77
1,67,6700,car,999.169,1000.123,0.961,-0.054,-0.056,5.77,1.77
1,68,6800,car,999.265,1000.118,1.053,-0.059,-0.056,5.77,1.77
1,69,6900,car,999.37,1000.112,1.155,-0.064,-0.056,5.77,1.77
1,70,7000,car,999.486,1000.106,1.267,-0.07,-0.056,5.77,1.77
1,71,7100,car,999.613,1000.099,1.389,-0.077,-0.055,5.77,1.77
1,72,7200,car,999.751,1000.091,1.519,-0.084,-0.055,5.77,1.77
1,73,7300,car,999.903,1000.083,1.657,-0.091,-0.055,5.77,1.77
1,74,7400,car,1000.069,1000.074,1.801,-0.098,-0.055,5.77,1.77
1,75,7500,car,1000.249,1000.065,1.95,-0.106,-0.054,5.77,1.77
1,76,7600,car,1000.444,1000.055,2.102,-0.113,-0.054,5.77,1.77
1,77,7700,car,1000.654,1000.044,2.255,-0.121,-0.053,5.77,1.77
1,78,7800,car,1000.88,1000.033,2.41,-0.128,-0.053,5.77,1.77
1,79,7900,car,1001.121,1000.021,2.563,-0.135,-0.053,5.77,1.77
1,80,8000,car,1001.377,1000.008,2.716,-0.142,-0.052,5.77,1.77
1,81,8100,car,1001.649,999.995,2.867,-0.148,-0.052,5.77,1.77
1,82,8200,car,1001.936,999.981,3.016,-0.155,-0.051,5.77,1.77
1,83,8300,car,1002.238,999.966,3.164,-0.162,-0.051,5.77,1.77
1,84,8400,car,1002.554,999.951,3.312,-0.169,-0.051,5.77,1.77
1,85,8500,car,1002.885,999.934,3.458,-0.176,-0.051,5.77,1.77
1,86,8600,car,1003.231,999.917,3.605,-0.184,-0.051,5.77,1.77
1,87,8700,car,1003.592,999.899,3.752,-0.192,-0.051,5.77,1.77
1,88,8800,car,1003.967,999.879,3.9,-0.201,-0.051,5.77,1.77
1,89,8900,car,1004.357,999.859,4.048,-0.21,-0.052,5.77,1.77
1,90,9000,car,1004.762,999.837,4.196,-0.219,-0.052,5.77,1.77
1,91,9100,car,1005.181,999.815,4.344,-0.228,-0.053,5.77,1.77
1,92,9200,car,1005.616,999.792,4.49,-0.238,-0.053,5.77,1.77
1,93,9300,car,1006.065,999.767,4.635,-0.247,-0.053,5.77,1.77
1,94,9400,car,1006.528,999.742,4.777,-0.255,-0.053,5.77,1.77
1,95,9500,car,1007.006,999.717,4.917,-0.263,-0.053,5.77,1.77
1,96,9600,car,1007.498,999.69,5.052,-0.269,-0.053,5.77,1.77
1,97,9700,car,1008.003,999.664,5.184,-0.275,-0.053,5.77,1.77
1,98,9800,car,1008.521,999.637,5.311,-0.279,-0.052,5.77,1.77
1,99,9900,car,1009.053,999.611,5.435,-0.281,-0.052,5.77,1.77
1,100,10000,car,1009.596,999.584,5.553,-0.283,-0.051,5.77,1.77
1,101,10100,car,1010.152,999.558,5.668,-0.282,-0.05,5.77,1.77
1,102,10200,car,1010.719,999.532,5.777,-0.281,-0.049,5.77,1.77
1,103,10300,car,1011.296,999.506,5.883,-0.278,-0.047,5.77,1.77
1,104,10400,car,1011.885,999.481,5.984,-0.274,-0.046,5.77,1.77
1,105,10500,car,1012.483,999.457,6.082,-0.269,-0.044,5.77,1.77
1,106,10600,car,1013.092,999.433,6.176,-0.264,-0.043,5.77,1.77
1,107,10700,car,1013.71,999.41,6.268,-0.258,-0.041,5.77,1.77
1,108,10800,car,1014.336,999.387,6.356,-0.251,-0.039,5.77,1.77
1,109,10900,car,1014.972,999.365,6.442,-0.244,-0.038,5.77,1.77
1,110,11000,car,1015.617,999.344,6.526,-0.236,-0.036,5.77,1.77
1,111,11100,car,1016.269,999.324,6.608,-0.228,-0.034,5.77,1.77
1,112,11200,car,1016.93,999.305,6.688,-0.219,-0.033,5.77,1.77
1,113,11300,car,1017.599,999.286,6.767,-0.21,-0.031,5.77,1.77
1,114,11400,car,1018.276,999.269,6.843,-0.201,-0.029,5.77,1.77
1,115,11500,car,1018.96,999.252,6.918,-0.19,-0.027,5.77,1.77
1,116,11600,car,1019.652,999.237,6.991,-0.179,-0.026,5.77,1.77
1,117,11700,car,1020.351,999.223,7.063,-0.168,-0.024,5.77,1.77
1,118,11800,car,1021.058,999.21,7.134,-0.155,-0.022,5.77,1.77
1,119,11900,car,1021.771,999.199,7.205,-0.142,-0.02,5.77,1.77
1,120,12000,car,1022.492,999.189,7.275,-0.128,-0.018,5.77,1.77
1,121,12100,car,1023.219,999.18,7.344,-0.114,-0.016,5.77,1.77
1,122,12200,car,1023.954,999.173,7.414,-0.099,-0.013,5.77,1.77
1,123,12300,car,1024.695,999.168,7.483,-0.083,-0.011,5.77,1.77
1,124,12400,car,1025.444,999.164,7.552,-0.067,-0.009,5.77,1.77
1,125,12500,car,1026.199,999.162,7.622,-0.05,-0.007,5.77,1.77
1,126,12600,car,1026.961,999.162,7.691,-0.031,-0.004,5.77,1.77
1,127,12700,car,1027.73,999.164,7.76,-0.012,-0.002,5.77,1.77
1,128,12800,car,1028.506,999.168,7.83,0.009,0.001,5.77,1.77
1,129,12900,car,1029.289,999.175,7.9,0.032,0.004,5.77,1.77
1,130,13000,car,1030.079,999.184,7.971,0.056,0.007,5.77,1.77
1,131,13100,car,1030.876,999.196,8.043,0.083,0.01,5.77,1.77
1,132,13200,car,1031.68,999.211,8.115,0.112,0.014,5.77,1.77
1,133,13300,car,1032.492,999.23,8.189,0.143,0.018,5.77,1.77
1,134,13400,car,1033.31,999.252,8.263,0.177,0.021,5.77,1.77
1,135,13500,car,1034.137,999.278,8.337,0.214,0.026,5.77,1.77
