track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,1013.76,1012.136,-7.98,-5.732,-2.519,4.75,1.82
1,2,200,car,1012.96,1011.566,-8.006,-5.722,-2.521,4.75,1.82
1,3,300,car,1012.157,1010.997,-8.037,-5.714,-2.524,4.75,1.82
1,4,400,car,1011.351,1010.429,-8.074,-5.706,-2.526,4.75,1.82
1,5,500,car,1010.541,1009.862,-8.116,-5.698,-2.529,4.75,1.82
1,6,600,car,1009.726,1009.297,-8.163,-5.691,-2.533,4.75,1.82
1,7,700,car,1008.907,1008.732,-8.217,-5.682,-2.537,4.75,1.82
1,8,800,car,1008.081,1008.169,-8.276,-5.67,-2.541,4.75,1.82
1,9,900,car,1007.249,1007.608,-8.341,-5.654,-2.546,4.75,1.82
1,10,1000,car,1006.411,1007.05,-8.412,-5.633,-2.552,4.75,1.82
1,11,1100,car,1005.564,1006.494,-8.489,-5.605,-2.558,4.75,1.82
1,12,1200,car,1004.709,1005.943,-8.569,-5.57,-2.565,4.75,1.82
1,13,1300,car,1003.846,1005.396,-8.654,-5.525,-2.573,4.75,1.82
1,14,1400,car,1002.973,1004.855,-8.742,-5.471,-2.582,4.75,1.82
1,15,1500,car,1002.091,1004.32,-8.831,-5.407,-2.592,4.75,1.82
1,16,1600,car,1001.2,1003.793,-8.921,-5.333,-2.603,4.75,1.82
1,17,1700,car,1000.299,1003.274,-9.01,-5.248,-2.614,4.75,1.82
1,18,1800,car,999.389,1002.764,-9.097,-5.154,-2.626,4.75,1.82
1,19,1900,car,998.471,1002.265,-9.18,-5.05,-2.639,4.75,1.82
1,20,2000,car,997.543,1001.777,-9.258,-4.937,-2.652,4.75,1.82
1,21,2100,car,996.608,1001.301,-9.33,-4.817,-2.665,4.75,1.82
1,22,2200,car,995.666,1000.837,-9.397,-4.691,-2.679,4.75,1.82
1,23,2300,car,994.718,1000.386,-9.457,-4.561,-2.692,4.75,1.82
1,24,2400,car,993.763,999.949,-9.511,-4.427,-2.706,4.75,1.82
